image,NV
ISIC_0031378,0.0
ISIC_0026527,1.0
ISIC_0027226,1.0
ISIC_0027904,0.0
ISIC_0029565,1.0
ISIC_0027558,1.0
ISIC_0031360,1.0
ISIC_0032206,0.0
ISIC_0031652,1.0
ISIC_0028805,1.0
ISIC_0033248,0.0
ISIC_0030748,1.0
ISIC_0033838,1.0
ISIC_0027934,1.0
ISIC_0027957,0.0
ISIC_0027989,0.0
ISIC_0026021,1.0
ISIC_0024579,0.0
ISIC_0025059,1.0
ISIC_0031085,1.0
ISIC_0031497,1.0
ISIC_0027088,1.0
ISIC_0029505,0.0
ISIC_0032770,1.0
ISIC_0025341,1.0
ISIC_0031566,1.0
ISIC_0029465,1.0
ISIC_0026293,1.0
ISIC_0033877,1.0
ISIC_0031273,1.0
ISIC_0026338,1.0
ISIC_0029646,1.0
ISIC_0025959,1.0
ISIC_0031317,1.0
ISIC_0026767,1.0
ISIC_0029722,1.0
ISIC_0028347,0.0
ISIC_0031823,0.0
ISIC_0029617,0.0
ISIC_0029514,0.0
ISIC_0029157,0.0
ISIC_0029522,0.0
ISIC_0024373,1.0
ISIC_0030870,0.0
ISIC_0033175,0.0
ISIC_0024523,1.0
ISIC_0028533,1.0
ISIC_0025926,1.0
ISIC_0024438,1.0
ISIC_0026065,1.0
ISIC_0033834,0.0
ISIC_0026291,0.0
ISIC_0031570,0.0
ISIC_0024855,1.0
ISIC_0026482,1.0
ISIC_0025421,1.0
ISIC_0030109,1.0
ISIC_0033378,0.0
ISIC_0030067,0.0
ISIC_0032444,1.0
ISIC_0024441,1.0
ISIC_0034128,1.0
ISIC_0031424,0.0
ISIC_0024608,1.0
ISIC_0025418,1.0
ISIC_0034253,0.0
ISIC_0030631,1.0
ISIC_0025562,1.0
ISIC_0029304,1.0
ISIC_0029655,0.0
ISIC_0028483,1.0
ISIC_0028799,1.0
ISIC_0028705,1.0
ISIC_0027044,0.0
ISIC_0030591,0.0
ISIC_0033588,1.0
ISIC_0033989,1.0
ISIC_0024753,1.0
ISIC_0024884,1.0
ISIC_0030084,1.0
ISIC_0024605,1.0
ISIC_0025622,0.0
ISIC_0029336,1.0
ISIC_0025609,1.0
ISIC_0032811,1.0
ISIC_0028298,1.0
ISIC_0033855,0.0
ISIC_0032986,1.0
ISIC_0029792,1.0
ISIC_0032619,1.0
ISIC_0025200,1.0
ISIC_0028502,1.0
ISIC_0034205,0.0
ISIC_0034243,0.0
ISIC_0027326,0.0
ISIC_0026310,1.0
ISIC_0026498,1.0
ISIC_0034160,0.0
ISIC_0026163,0.0
ISIC_0027969,0.0
ISIC_0028968,0.0
ISIC_0031672,0.0
ISIC_0026261,1.0
ISIC_0029209,0.0
ISIC_0029092,0.0
ISIC_0030691,1.0
ISIC_0025949,1.0
ISIC_0030630,0.0
ISIC_0025459,1.0
ISIC_0028919,1.0
ISIC_0025512,0.0
ISIC_0033800,1.0
ISIC_0033123,0.0
ISIC_0027626,0.0
ISIC_0033569,0.0
ISIC_0029876,1.0
ISIC_0025548,0.0
ISIC_0033169,0.0
ISIC_0032389,0.0
ISIC_0028964,0.0
ISIC_0030049,1.0
ISIC_0030818,0.0
ISIC_0026808,1.0
ISIC_0033144,1.0
ISIC_0025768,1.0
ISIC_0024704,1.0
ISIC_0024883,0.0
ISIC_0032492,1.0
ISIC_0029632,0.0
ISIC_0027432,1.0
ISIC_0030975,1.0
ISIC_0027328,0.0
ISIC_0024801,1.0
ISIC_0033807,0.0
ISIC_0028688,0.0
ISIC_0033315,1.0
ISIC_0030173,0.0
ISIC_0025146,1.0
ISIC_0031993,0.0
ISIC_0033152,0.0
ISIC_0030444,1.0
ISIC_0033467,1.0
ISIC_0032152,0.0
ISIC_0033127,0.0
ISIC_0032332,1.0
ISIC_0030658,1.0
ISIC_0026811,0.0
ISIC_0025715,1.0
ISIC_0024586,0.0
ISIC_0031814,1.0
ISIC_0031400,0.0
ISIC_0029885,0.0
ISIC_0030575,0.0
ISIC_0030660,1.0
ISIC_0027089,0.0
ISIC_0024351,0.0
ISIC_0033481,1.0
ISIC_0030687,0.0
ISIC_0032545,0.0
ISIC_0033030,1.0
ISIC_0025381,1.0
ISIC_0032904,1.0
ISIC_0025399,1.0
ISIC_0026255,1.0
ISIC_0025826,0.0
ISIC_0030964,0.0
ISIC_0028463,0.0
ISIC_0031040,0.0
ISIC_0024875,0.0
ISIC_0034135,0.0
ISIC_0033958,1.0
ISIC_0025149,1.0
ISIC_0029736,1.0
ISIC_0026298,0.0
ISIC_0033202,1.0
ISIC_0027764,1.0
ISIC_0028005,1.0
ISIC_0025476,1.0
ISIC_0024691,1.0
ISIC_0028069,0.0
ISIC_0025610,1.0
ISIC_0026094,0.0
ISIC_0029538,0.0
ISIC_0033469,0.0
ISIC_0033533,0.0
ISIC_0025356,1.0
ISIC_0029811,0.0
ISIC_0033931,0.0
ISIC_0031783,0.0
ISIC_0033136,1.0
ISIC_0029380,1.0
ISIC_0033324,0.0
ISIC_0028379,1.0
ISIC_0027706,0.0
ISIC_0026047,1.0
ISIC_0026184,1.0
ISIC_0033583,0.0
ISIC_0029392,0.0
ISIC_0032553,0.0
ISIC_0032313,0.0
ISIC_0029589,1.0
ISIC_0033258,0.0
ISIC_0027537,1.0
ISIC_0025103,0.0
ISIC_0029634,0.0
ISIC_0033099,0.0
ISIC_0025743,0.0
ISIC_0024911,0.0
ISIC_0027876,0.0
ISIC_0033815,1.0
ISIC_0030349,0.0
ISIC_0032156,0.0
ISIC_0026046,0.0
ISIC_0032965,0.0
ISIC_0025261,1.0
ISIC_0032069,1.0
ISIC_0025513,0.0
ISIC_0033196,0.0
ISIC_0032401,1.0
ISIC_0028445,0.0
ISIC_0029997,1.0
ISIC_0026099,1.0
ISIC_0029163,0.0
ISIC_0034252,0.0
ISIC_0029813,1.0
ISIC_0033478,1.0
ISIC_0028869,1.0
ISIC_0027438,1.0
ISIC_0033284,0.0
ISIC_0030342,1.0
ISIC_0030096,0.0
ISIC_0028409,1.0
ISIC_0030601,1.0
ISIC_0030710,1.0
ISIC_0027403,1.0
ISIC_0029884,0.0
ISIC_0032207,0.0
ISIC_0024900,0.0
ISIC_0034058,0.0
ISIC_0027661,1.0
ISIC_0034214,0.0
ISIC_0026349,0.0
ISIC_0033641,1.0
ISIC_0030281,0.0
ISIC_0027033,0.0
ISIC_0028872,0.0
ISIC_0032833,0.0
ISIC_0024851,0.0
ISIC_0027884,0.0
ISIC_0028180,0.0
ISIC_0027470,0.0
ISIC_0027728,1.0
ISIC_0030197,0.0
ISIC_0028374,1.0
ISIC_0034004,1.0
ISIC_0030442,0.0
ISIC_0028061,1.0
ISIC_0032016,1.0
ISIC_0024690,1.0
ISIC_0028207,1.0
ISIC_0034050,0.0
ISIC_0034008,1.0
ISIC_0030106,0.0
ISIC_0027675,0.0
ISIC_0030423,0.0
