image,NV,VASC,OTHER
ISIC_0026727,1.0,0.0,0.0
ISIC_0033031,0.0,1.0,0.0
ISIC_0025234,0.0,0.0,1.0
ISIC_0034183,0.0,0.0,1.0
ISIC_0033248,0.0,0.0,1.0
ISIC_0028147,0.0,0.0,1.0
ISIC_0025136,0.0,0.0,1.0
ISIC_0026481,0.0,0.0,1.0
ISIC_0027522,0.0,1.0,0.0
ISIC_0028680,0.0,1.0,0.0
ISIC_0026083,0.0,0.0,1.0
ISIC_0027359,0.0,0.0,1.0
ISIC_0032295,1.0,0.0,0.0
ISIC_0027716,1.0,0.0,0.0
ISIC_0033458,0.0,1.0,0.0
ISIC_0031761,0.0,0.0,1.0
ISIC_0026985,1.0,0.0,0.0
ISIC_0031391,1.0,0.0,0.0
ISIC_0031327,1.0,0.0,0.0
ISIC_0032984,0.0,0.0,1.0
ISIC_0027724,1.0,0.0,0.0
ISIC_0030275,0.0,1.0,0.0
ISIC_0031016,0.0,0.0,1.0
ISIC_0027308,1.0,0.0,0.0
ISIC_0033991,0.0,1.0,0.0
ISIC_0031615,1.0,0.0,0.0
ISIC_0030221,1.0,0.0,0.0
ISIC_0032557,0.0,1.0,0.0
ISIC_0025824,0.0,0.0,1.0
ISIC_0029561,1.0,0.0,0.0
ISIC_0033092,0.0,1.0,0.0
ISIC_0027130,0.0,0.0,1.0
ISIC_0025841,1.0,0.0,0.0
ISIC_0028245,1.0,0.0,0.0
ISIC_0028326,0.0,0.0,1.0
ISIC_0033538,0.0,0.0,1.0
ISIC_0026292,1.0,0.0,0.0
ISIC_0025677,0.0,1.0,0.0
ISIC_0027709,1.0,0.0,0.0
ISIC_0026388,0.0,0.0,1.0
ISIC_0031486,1.0,0.0,0.0
ISIC_0030527,1.0,0.0,0.0
ISIC_0025578,0.0,1.0,0.0
ISIC_0028189,1.0,0.0,0.0
ISIC_0026903,1.0,0.0,0.0
ISIC_0030002,0.0,0.0,1.0
ISIC_0031236,0.0,0.0,1.0
ISIC_0030455,1.0,0.0,0.0
ISIC_0026338,1.0,0.0,0.0
ISIC_0029224,1.0,0.0,0.0
ISIC_0026415,1.0,0.0,0.0
ISIC_0031609,0.0,0.0,1.0
ISIC_0025437,1.0,0.0,0.0
ISIC_0028361,0.0,0.0,1.0
ISIC_0029615,1.0,0.0,0.0
ISIC_0027273,1.0,0.0,0.0
ISIC_0030956,0.0,1.0,0.0
ISIC_0031901,0.0,1.0,0.0
ISIC_0033031,0.0,1.0,0.0
ISIC_0031706,0.0,1.0,0.0
ISIC_0028885,0.0,1.0,0.0
ISIC_0031197,0.0,1.0,0.0
ISIC_0028913,0.0,0.0,1.0
ISIC_0029439,0.0,1.0,0.0
ISIC_0031276,0.0,1.0,0.0
ISIC_0027613,0.0,0.0,1.0
ISIC_0028704,1.0,0.0,0.0
ISIC_0027694,1.0,0.0,0.0
ISIC_0027409,1.0,0.0,0.0
ISIC_0031360,1.0,0.0,0.0
ISIC_0027038,0.0,0.0,1.0
ISIC_0030275,0.0,1.0,0.0
ISIC_0031093,0.0,1.0,0.0
ISIC_0031936,1.0,0.0,0.0
ISIC_0025241,1.0,0.0,0.0
ISIC_0032643,0.0,0.0,1.0
ISIC_0030955,1.0,0.0,0.0
ISIC_0028680,0.0,1.0,0.0
ISIC_0024795,0.0,0.0,1.0
ISIC_0033488,0.0,0.0,1.0
ISIC_0025465,0.0,0.0,1.0
ISIC_0029602,0.0,0.0,1.0
ISIC_0029195,0.0,0.0,1.0
ISIC_0033738,1.0,0.0,0.0
ISIC_0029891,0.0,0.0,1.0
ISIC_0027332,0.0,0.0,1.0
ISIC_0031009,0.0,0.0,1.0
ISIC_0034169,0.0,0.0,1.0
ISIC_0027210,0.0,1.0,0.0
ISIC_0034300,1.0,0.0,0.0
ISIC_0030730,0.0,0.0,1.0
ISIC_0030287,1.0,0.0,0.0
ISIC_0025807,0.0,1.0,0.0
ISIC_0031197,0.0,1.0,0.0
ISIC_0034146,1.0,0.0,0.0
ISIC_0029744,0.0,0.0,1.0
ISIC_0032216,1.0,0.0,0.0
ISIC_0034247,1.0,0.0,0.0
ISIC_0032057,0.0,1.0,0.0
ISIC_0025771,0.0,0.0,1.0
ISIC_0030809,1.0,0.0,0.0
ISIC_0026828,1.0,0.0,0.0
ISIC_0029786,1.0,0.0,0.0
ISIC_0028915,0.0,0.0,1.0
ISIC_0026943,1.0,0.0,0.0
ISIC_0026074,0.0,0.0,1.0
ISIC_0033360,1.0,0.0,0.0
ISIC_0033424,0.0,0.0,1.0
ISIC_0032960,0.0,0.0,1.0
ISIC_0027888,0.0,1.0,0.0
ISIC_0033230,0.0,1.0,0.0
ISIC_0033450,0.0,1.0,0.0
ISIC_0026397,1.0,0.0,0.0
ISIC_0024374,1.0,0.0,0.0
ISIC_0031950,0.0,1.0,0.0
ISIC_0031215,0.0,1.0,0.0
ISIC_0024539,0.0,0.0,1.0
ISIC_0029742,0.0,1.0,0.0
ISIC_0033158,0.0,1.0,0.0
ISIC_0028302,1.0,0.0,0.0
ISIC_0031103,0.0,1.0,0.0
ISIC_0033275,0.0,0.0,1.0
ISIC_0030089,0.0,0.0,1.0
ISIC_0025941,0.0,0.0,1.0
ISIC_0031276,0.0,1.0,0.0
ISIC_0032625,1.0,0.0,0.0
ISIC_0024758,0.0,0.0,1.0
ISIC_0033817,0.0,1.0,0.0
ISIC_0025181,1.0,0.0,0.0
ISIC_0024402,0.0,1.0,0.0
ISIC_0030722,0.0,1.0,0.0
ISIC_0025425,0.0,1.0,0.0
ISIC_0027913,1.0,0.0,0.0
ISIC_0032839,0.0,1.0,0.0
ISIC_0025873,0.0,1.0,0.0
ISIC_0031090,0.0,1.0,0.0
ISIC_0027254,0.0,0.0,1.0
ISIC_0032056,1.0,0.0,0.0
ISIC_0030707,0.0,0.0,1.0
ISIC_0024403,0.0,0.0,1.0
ISIC_0026818,1.0,0.0,0.0
ISIC_0031509,1.0,0.0,0.0
ISIC_0026556,0.0,0.0,1.0
ISIC_0032839,0.0,1.0,0.0
ISIC_0025952,1.0,0.0,0.0
ISIC_0032867,0.0,1.0,0.0
ISIC_0029616,1.0,0.0,0.0
ISIC_0028948,1.0,0.0,0.0
ISIC_0026167,0.0,0.0,1.0
ISIC_0028145,1.0,0.0,0.0
ISIC_0025867,0.0,0.0,1.0
ISIC_0031901,0.0,1.0,0.0
ISIC_0025244,0.0,1.0,0.0
ISIC_0028177,1.0,0.0,0.0
ISIC_0033158,0.0,1.0,0.0
ISIC_0033230,0.0,1.0,0.0
ISIC_0026351,0.0,0.0,1.0
ISIC_0026925,1.0,0.0,0.0
ISIC_0032715,0.0,1.0,0.0
ISIC_0033232,0.0,0.0,1.0
ISIC_0030835,0.0,0.0,1.0
ISIC_0024341,1.0,0.0,0.0
ISIC_0026188,0.0,0.0,1.0
ISIC_0033265,1.0,0.0,0.0
ISIC_0026456,0.0,1.0,0.0
ISIC_0031838,1.0,0.0,0.0
ISIC_0029877,0.0,1.0,0.0
ISIC_0029448,0.0,1.0,0.0
ISIC_0028336,0.0,0.0,1.0
ISIC_0026579,1.0,0.0,0.0
ISIC_0033500,0.0,0.0,1.0
ISIC_0030882,0.0,1.0,0.0
ISIC_0033744,0.0,0.0,1.0
ISIC_0032839,0.0,1.0,0.0
ISIC_0025401,1.0,0.0,0.0
ISIC_0024835,1.0,0.0,0.0
ISIC_0032841,0.0,0.0,1.0
ISIC_0030802,1.0,0.0,0.0
ISIC_0031181,0.0,0.0,1.0
ISIC_0030732,1.0,0.0,0.0
ISIC_0027563,0.0,1.0,0.0
ISIC_0025249,0.0,1.0,0.0
ISIC_0032409,0.0,1.0,0.0
ISIC_0026663,0.0,0.0,1.0
ISIC_0032925,0.0,0.0,1.0
ISIC_0025628,0.0,1.0,0.0
ISIC_0029338,1.0,0.0,0.0
ISIC_0032043,0.0,0.0,1.0
ISIC_0032660,0.0,0.0,1.0
ISIC_0026105,0.0,0.0,1.0
ISIC_0029300,1.0,0.0,0.0
ISIC_0025863,1.0,0.0,0.0
ISIC_0032031,0.0,0.0,1.0
ISIC_0027642,1.0,0.0,0.0
ISIC_0029168,1.0,0.0,0.0
ISIC_0033000,0.0,0.0,1.0
ISIC_0026729,0.0,0.0,1.0
ISIC_0028229,0.0,0.0,1.0
ISIC_0026068,0.0,1.0,0.0
ISIC_0032270,0.0,1.0,0.0
ISIC_0029404,0.0,1.0,0.0
ISIC_0032383,1.0,0.0,0.0
ISIC_0027790,0.0,1.0,0.0
ISIC_0025628,0.0,1.0,0.0
ISIC_0028376,0.0,0.0,1.0
ISIC_0033268,0.0,0.0,1.0
ISIC_0025914,1.0,0.0,0.0
ISIC_0025247,0.0,0.0,1.0
ISIC_0031575,1.0,0.0,0.0
ISIC_0025244,0.0,1.0,0.0
ISIC_0026997,1.0,0.0,0.0
ISIC_0025734,1.0,0.0,0.0
ISIC_0032531,0.0,0.0,1.0
ISIC_0024395,1.0,0.0,0.0
ISIC_0029742,0.0,1.0,0.0
ISIC_0030882,0.0,1.0,0.0
ISIC_0024802,1.0,0.0,0.0
ISIC_0026490,0.0,1.0,0.0
ISIC_0029803,1.0,0.0,0.0
ISIC_0033349,0.0,1.0,0.0
ISIC_0032765,1.0,0.0,0.0
ISIC_0027352,0.0,0.0,1.0
ISIC_0024475,0.0,1.0,0.0
ISIC_0031065,0.0,1.0,0.0
ISIC_0033749,0.0,1.0,0.0
ISIC_0033659,0.0,0.0,1.0
ISIC_0033135,0.0,1.0,0.0
ISIC_0032443,1.0,0.0,0.0
ISIC_0033817,0.0,1.0,0.0
ISIC_0027612,0.0,0.0,1.0
ISIC_0032719,0.0,0.0,1.0
ISIC_0032846,1.0,0.0,0.0
ISIC_0033969,0.0,1.0,0.0
ISIC_0027550,0.0,0.0,1.0
ISIC_0028212,1.0,0.0,0.0
ISIC_0027165,1.0,0.0,0.0
ISIC_0024475,0.0,1.0,0.0
ISIC_0028934,1.0,0.0,0.0
ISIC_0025285,0.0,0.0,1.0
ISIC_0027856,0.0,1.0,0.0
ISIC_0030996,1.0,0.0,0.0
ISIC_0033428,0.0,0.0,1.0
ISIC_0027315,1.0,0.0,0.0
ISIC_0032152,0.0,0.0,1.0
ISIC_0024867,0.0,1.0,0.0
ISIC_0027937,0.0,1.0,0.0
ISIC_0027560,0.0,0.0,1.0
ISIC_0029466,0.0,0.0,1.0
ISIC_0025735,1.0,0.0,0.0
ISIC_0026553,0.0,0.0,1.0
ISIC_0032323,1.0,0.0,0.0
ISIC_0031201,0.0,1.0,0.0
ISIC_0028509,1.0,0.0,0.0
ISIC_0024629,1.0,0.0,0.0
ISIC_0030908,1.0,0.0,0.0
ISIC_0028881,0.0,0.0,1.0
ISIC_0026526,0.0,0.0,1.0
ISIC_0033565,0.0,1.0,0.0
ISIC_0024315,0.0,0.0,1.0
ISIC_0025606,0.0,1.0,0.0
ISIC_0032993,0.0,0.0,1.0
ISIC_0033254,0.0,1.0,0.0
ISIC_0032538,0.0,1.0,0.0
ISIC_0033023,0.0,0.0,1.0
ISIC_0025425,0.0,1.0,0.0
ISIC_0033611,0.0,0.0,1.0
ISIC_0031808,0.0,0.0,1.0
ISIC_0030882,0.0,1.0,0.0
ISIC_0032409,0.0,1.0,0.0
ISIC_0031442,0.0,0.0,1.0
ISIC_0027856,0.0,1.0,0.0
ISIC_0026393,0.0,1.0,0.0
ISIC_0026376,1.0,0.0,0.0
ISIC_0031215,0.0,1.0,0.0
ISIC_0032570,0.0,0.0,1.0
ISIC_0032944,1.0,0.0,0.0
ISIC_0027989,0.0,0.0,1.0
ISIC_0031455,1.0,0.0,0.0
ISIC_0033718,1.0,0.0,0.0
ISIC_0028744,1.0,0.0,0.0
ISIC_0031074,1.0,0.0,0.0
ISIC_0026349,0.0,1.0,0.0
ISIC_0031750,1.0,0.0,0.0
ISIC_0025707,0.0,1.0,0.0
ISIC_0033158,0.0,1.0,0.0
ISIC_0025321,0.0,1.0,0.0
ISIC_0032077,1.0,0.0,0.0
ISIC_0032173,0.0,0.0,1.0
ISIC_0024770,0.0,0.0,1.0
ISIC_0029678,0.0,0.0,1.0
ISIC_0032353,1.0,0.0,0.0
ISIC_0027584,0.0,0.0,1.0
ISIC_0026393,0.0,1.0,0.0
ISIC_0031901,0.0,1.0,0.0
ISIC_0029608,0.0,1.0,0.0
ISIC_0028431,0.0,1.0,0.0
